transicion_baja|accion_baja|estado_origen|activo_origen|estado_destino|activo_destino|capacidad|campos_permitidos|campos_requeridos
SOLICITAR_NUEVA|solicitar||true|SOLICITADA|true|puede_guardar|estado_baja,motivo_baja,fecha_solicitud,solicitado_por,fecha_revision,revisado_por,fecha_finalizacion,autorizado_por,documento_respaldo,motivo_rechazo|motivo_baja
SOLICITAR_RECHAZADA|solicitar|RECHAZADA|true|SOLICITADA|true|puede_guardar|estado_baja,motivo_baja,fecha_solicitud,solicitado_por,fecha_revision,revisado_por,fecha_finalizacion,autorizado_por,documento_respaldo,motivo_rechazo|motivo_baja
APROBAR_SOLICITADA|aprobar|SOLICITADA|true|APROBADA|false|puede_aprobar_baja|estado_baja,activo,documento_respaldo,fecha_finalizacion,autorizado_por|motivo_baja,fecha_solicitud,solicitado_por
APROBAR_DIRECTA_NUEVA|aprobar_directa||true|APROBADA|false|puede_aprobar_baja|estado_baja,activo,motivo_baja,documento_respaldo,fecha_solicitud,solicitado_por,fecha_finalizacion,autorizado_por,motivo_rechazo|motivo_baja
APROBAR_DIRECTA_RECHAZADA|aprobar_directa|RECHAZADA|true|APROBADA|false|puede_aprobar_baja|estado_baja,activo,motivo_baja,documento_respaldo,fecha_solicitud,solicitado_por,fecha_finalizacion,autorizado_por,motivo_rechazo|motivo_baja
RECHAZAR_SOLICITADA|rechazar|SOLICITADA|true|RECHAZADA|true|puede_aprobar_baja|estado_baja,motivo_rechazo,fecha_finalizacion,autorizado_por|motivo_rechazo
RESTAURAR_APROBADA|restaurar|APROBADA|false||true|puede_restaurar_baja|activo,estado_baja,motivo_baja,fecha_solicitud,solicitado_por,revisado_por,fecha_revision,fecha_finalizacion,autorizado_por,documento_respaldo,motivo_rechazo,motivo_restauracion,restaurado_por,fecha_restauracion|motivo_restauracion
RESTAURAR_HISTORICA|restaurar||false||true|puede_restaurar_baja|activo,estado_baja,motivo_baja,fecha_solicitud,solicitado_por,revisado_por,fecha_revision,fecha_finalizacion,autorizado_por,documento_respaldo,motivo_rechazo,motivo_restauracion,restaurado_por,fecha_restauracion|motivo_restauracion
RESTAURAR_SOLICITADA|restaurar|SOLICITADA|false||true|puede_restaurar_baja|activo,estado_baja,motivo_baja,fecha_solicitud,solicitado_por,revisado_por,fecha_revision,fecha_finalizacion,autorizado_por,documento_respaldo,motivo_rechazo,motivo_restauracion,restaurado_por,fecha_restauracion|motivo_restauracion
RESTAURAR_RECHAZADA|restaurar|RECHAZADA|false||true|puede_restaurar_baja|activo,estado_baja,motivo_baja,fecha_solicitud,solicitado_por,revisado_por,fecha_revision,fecha_finalizacion,autorizado_por,documento_respaldo,motivo_rechazo,motivo_restauracion,restaurado_por,fecha_restauracion|motivo_restauracion
